YearID,GameID,GamePitchSequence,PAofInning,AtBatPitchSequence,Inning,Balls,Strikes,PitcherID,PitcherHand,BatSide,PitchType,Velocity,VerticalBreak,HorizontalBreak,PlateLocHeight,PlateLocSide
2018,DFCBC8CF-E0F5-45EF-B07E-0122EE55B257,76,2,2,3,1,0,857,L,R,FA,91.91050552,20.64172715,-6.904077651,2.960884784,-0.024805047
2018,DFCBC8CF-E0F5-45EF-B07E-0122EE55B257,77,2,3,3,1,1,857,L,R,FA,92.27490552,19.87482715,-9.855277651,2.360084784,-0.058405047
2018,DFCBC8CF-E0F5-45EF-B07E-0122EE55B257,78,2,4,3,1,2,857,L,R,SI,90.18410552,10.24052715,-16.02467765,1.916284784,0.125394953
2018,DFCBC8CF-E0F5-45EF-B07E-0122EE55B257,80,3,2,3,1,0,857,L,L,SI,90.28820552,10.72882715,-17.21607765,2.144784784,-0.789805047
2018,DFCBC8CF-E0F5-45EF-B07E-0122EE55B257,81,3,3,3,1,1,857,L,L,SI,90.55570552,9.351727145,-16.65127765,3.127884784,-0.299605047
2018,DFCBC8CF-E0F5-45EF-B07E-0122EE55B257,82,3,4,3,1,2,857,L,L,SI,91.30290552,9.592127145,-17.06957765,3.536484784,0.191194953
2018,DFCBC8CF-E0F5-45EF-B07E-0122EE55B257,85,4,1,3,0,0,857,L,R,FA,92.27770552,19.58432715,-4.713577651,2.724184784,-0.536405047
2018,DFCBC8CF-E0F5-45EF-B07E-0122EE55B257,86,4,2,3,0,1,857,L,R,FA,92.51030552,20.38902715,-4.382677651,4.120784784,0.794594953
2018,DFCBC8CF-E0F5-45EF-B07E-0122EE55B257,87,4,3,3,1,1,857,L,R,SI,88.73690552,12.55552715,-15.96867765,1.904184784,-0.462805047
2018,DFCBC8CF-E0F5-45EF-B07E-0122EE55B257,97,1,1,4,0,0,857,L,L,SI,89.16590552,12.04062715,-14.72177765,1.548584784,0.148594953
2018,DFCBC8CF-E0F5-45EF-B07E-0122EE55B257,98,1,2,4,0,1,857,L,L,SI,88.84220552,10.08392715,-15.31477765,2.818484784,-0.099005047
2018,DFCBC8CF-E0F5-45EF-B07E-0122EE55B257,100,2,2,4,1,0,857,L,L,FA,93.11730552,19.74472715,-4.182477651,2.998084784,1.216594953
2018,DFCBC8CF-E0F5-45EF-B07E-0122EE55B257,101,2,3,4,2,0,857,L,L,SI,90.19250552,10.85072715,-11.98387765,1.565684784,0.173094953
2018,DFCBC8CF-E0F5-45EF-B07E-0122EE55B257,102,2,4,4,2,1,857,L,L,SI,90.21800552,11.22672715,-15.43447765,2.417584784,-0.390905047
2018,DFCBC8CF-E0F5-45EF-B07E-0122EE55B257,104,3,2,4,1,0,857,L,R,FA,92.15940552,20.51602715,-3.795577651,4.076284784,0.254094953
2018,DFCBC8CF-E0F5-45EF-B07E-0122EE55B257,105,3,3,4,1,1,857,L,R,FA,93.48830552,19.80952715,-6.741277651,2.582784784,0.719094953
2018,DFCBC8CF-E0F5-45EF-B07E-0122EE55B257,106,3,4,4,1,2,857,L,R,FA,94.65540552,19.82422715,-7.174477651,3.484584784,0.767194953
2018,DFCBC8CF-E0F5-45EF-B07E-0122EE55B257,107,3,5,4,2,2,857,L,R,SI,91.08390552,5.917527145,-14.42497765,1.230184784,0.665094953
2018,DFCBC8CF-E0F5-45EF-B07E-0122EE55B257,108,3,6,4,3,2,857,L,R,FA,95.32990552,20.86562715,-6.180977651,2.566184784,0.231294953
2018,DFCBC8CF-E0F5-45EF-B07E-0122EE55B257,109,3,7,4,3,2,857,L,R,SI,92.19870552,7.946527145,-15.78367765,2.587584784,0.545594953
2018,DFCBC8CF-E0F5-45EF-B07E-0122EE55B257,141,1,1,5,0,0,857,L,R,SI,89.01970552,14.91932715,-15.91357765,3.324684784,-0.648605047
2018,DFCBC8CF-E0F5-45EF-B07E-0122EE55B257,142,1,2,5,0,1,857,L,R,FA,91.03350552,19.91262715,-10.40757765,2.980984784,0.116294953
2018,DFCBC8CF-E0F5-45EF-B07E-0122EE55B257,143,1,3,5,0,2,857,L,R,FA,91.94860552,17.42592715,-11.46007765,4.045784784,-0.088205047
2018,DFCBC8CF-E0F5-45EF-B07E-0122EE55B257,144,2,1,5,0,0,857,L,R,SI,91.10970552,16.90422715,-14.65877765,2.450584784,-0.349005047
2018,DFCBC8CF-E0F5-45EF-B07E-0122EE55B257,145,2,2,5,0,1,857,L,R,FA,92.12560552,20.69672715,-8.098277651,3.638484784,0.514194953
2018,DFCBC8CF-E0F5-45EF-B07E-0122EE55B257,146,2,3,5,0,2,857,L,R,SI,89.94070552,15.22472715,-14.89517765,3.064984784,0.827994953
2018,DFCBC8CF-E0F5-45EF-B07E-0122EE55B257,147,3,1,5,0,0,857,L,R,SI,90.76860552,16.59562715,-15.88887765,2.279784784,-0.982905047
2018,DFCBC8CF-E0F5-45EF-B07E-0122EE55B257,148,3,2,5,0,1,857,L,R,FA,92.57430552,21.05322715,-8.458377651,4.027184784,0.916294953
2018,DFCBC8CF-E0F5-45EF-B07E-0122EE55B257,168,1,1,6,0,0,857,L,R,SI,88.50070552,10.22042715,-11.58047765,2.375284784,0.152494953
2018,DFCBC8CF-E0F5-45EF-B07E-0122EE55B257,169,1,2,6,0,1,857,L,R,FA,92.26500552,17.42332715,-5.394477651,2.282984784,0.824294953
2018,DFCBC8CF-E0F5-45EF-B07E-0122EE55B257,170,1,3,6,0,2,857,L,R,SI,90.91420552,10.20632715,-12.86557765,1.786684784,0.916394953
2018,DFCBC8CF-E0F5-45EF-B07E-0122EE55B257,171,2,1,6,0,0,857,L,L,SI,89.05540552,9.410527145,-15.22837765,1.421884784,0.721494953
2018,DFCBC8CF-E0F5-45EF-B07E-0122EE55B257,172,2,2,6,1,0,857,L,L,FA,91.82670552,19.18432715,-6.658677651,2.910684784,-0.478305047
2018,DFCBC8CF-E0F5-45EF-B07E-0122EE55B257,176,3,3,6,2,0,857,L,R,FA,91.46150552,19.61952715,-4.111277651,2.800584784,-0.065905047
2018,DFCBC8CF-E0F5-45EF-B07E-0122EE55B257,177,3,4,6,2,1,857,L,R,FA,92.43990552,19.93792715,-4.976977651,2.961684784,0.487094953
2018,DFCBC8CF-E0F5-45EF-B07E-0122EE55B257,180,4,2,6,0,1,857,L,L,SI,90.72130552,9.839527145,-16.60827765,2.884684784,-0.838205047
2018,DFCBC8CF-E0F5-45EF-B07E-0122EE55B257,194,1,1,7,0,0,857,L,L,SI,88.62630552,9.316427145,-14.13277765,0.948084784,-0.766905047
2018,DFCBC8CF-E0F5-45EF-B07E-0122EE55B257,195,1,2,7,1,0,857,L,L,SI,89.87980552,10.99672715,-13.99937765,2.264184784,0.287494953
2018,DFCBC8CF-E0F5-45EF-B07E-0122EE55B257,196,1,3,7,1,1,857,L,L,SI,88.58880552,9.694727145,-14.01407765,2.771484784,0.018594953
2018,DFCBC8CF-E0F5-45EF-B07E-0122EE55B257,197,1,4,7,1,2,857,L,L,FA,93.06660552,20.09692715,-4.434677651,2.732784784,1.310594953
2018,DFCBC8CF-E0F5-45EF-B07E-0122EE55B257,198,1,5,7,2,2,857,L,L,SI,90.64100552,6.947827145,-16.29487765,3.526884784,-1.044305047
2018,DFCBC8CF-E0F5-45EF-B07E-0122EE55B257,200,2,2,7,1,0,857,L,R,FA,92.89080552,21.57812715,-2.833077651,3.053384784,0.605794953
2018,DFCBC8CF-E0F5-45EF-B07E-0122EE55B257,201,3,1,7,0,0,857,L,R,FA,91.80700552,19.44412715,-2.845877651,2.238784784,-0.537005047
2019,9CCFE8D1-A76E-4488-9958-01D933ABF12C,18,1,1,1,0,0,114013,L,R,SI,87.24126079,9.619871022,-15.21002165,2.689305489,-1.920229834
2019,9CCFE8D1-A76E-4488-9958-01D933ABF12C,20,1,3,1,1,1,114013,L,R,FA,90.62246079,13.71077102,-8.756421645,3.925205489,-0.307029834
2019,9CCFE8D1-A76E-4488-9958-01D933ABF12C,24,2,1,1,0,0,114013,L,R,SI,89.51056079,9.550671022,-14.75972165,2.298305489,-1.685929834
2019,9CCFE8D1-A76E-4488-9958-01D933ABF12C,25,2,2,1,1,0,114013,L,R,FA,92.01036079,12.38557102,-10.71162165,1.718505489,0.790070166
2019,9CCFE8D1-A76E-4488-9958-01D933ABF12C,26,3,1,1,0,0,114013,L,L,SI,90.03386079,11.06117102,-14.99242165,3.253305489,-1.592829834
2019,9CCFE8D1-A76E-4488-9958-01D933ABF12C,27,3,2,1,1,0,114013,L,L,FA,91.76886079,13.28007102,-9.357321645,2.102505489,0.569170166
2019,9CCFE8D1-A76E-4488-9958-01D933ABF12C,29,3,4,1,1,2,114013,L,L,FA,91.08326079,9.339971022,-10.78612165,2.937905489,-0.269029834
2019,9CCFE8D1-A76E-4488-9958-01D933ABF12C,53,1,1,2,0,0,114013,L,R,FA,87.44266079,12.46087102,-13.95672165,2.635405489,-1.687329834
2019,9CCFE8D1-A76E-4488-9958-01D933ABF12C,59,2,4,2,0,2,114013,L,R,FA,90.35526079,15.12717102,-8.884821645,2.673205489,0.544470166
2019,9CCFE8D1-A76E-4488-9958-01D933ABF12C,60,3,1,2,0,0,114013,L,R,FA,90.55766079,12.73107102,-8.182821645,2.171905489,0.548470166
2019,9CCFE8D1-A76E-4488-9958-01D933ABF12C,95,1,2,3,1,0,114013,L,R,FA,89.07716079,15.60497102,-9.635621645,2.767305489,0.019670166
2019,9CCFE8D1-A76E-4488-9958-01D933ABF12C,100,1,7,3,3,2,114013,L,R,FA,92.33566079,13.82047102,-9.860721645,1.990105489,0.492870166
2019,9CCFE8D1-A76E-4488-9958-01D933ABF12C,102,2,1,3,0,0,114013,L,R,FA,88.89836079,11.60927102,-11.87552165,2.589605489,0.115770166
2019,9CCFE8D1-A76E-4488-9958-01D933ABF12C,103,3,1,3,0,0,114013,L,R,FA,91.62626079,16.57107102,-8.654521645,3.335205489,1.026170166
